Nom table;Identifiant BDD;Donnée obligatoire;Type de donnée;Table de références;Champ récupéré (enum) ;Description
audit_deperdition;deperdition_pont_thermique;X;Numérique; ; ;deperditions par les ponts thermiques(W/K). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_deperdition;deperdition_porte;X;Numérique; ; ;deperditions par les ponts thermiques(W/K). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_deperdition;deperdition_renouvellement_air;X;Numérique; ; ;deperditions par renouvellement d'air totale (hvent + hperm)(W/K). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_deperdition;hperm;X;Numérique; ; ;part des deperditions de renouvellement d'air liées à la perméabilité à l'air du bâtiment(W/K). Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_deperdition;hvent;X;Numérique; ; ;part des deperditions de renouvellement d'air liées au système de(W/K) ventilation. Pour les DPE immeubles et appartement à partir de l'immeuble ces données sont à l'immeuble.
audit_deperdition;logement_id;X; ;audit_logement; ;Identifiant technique du logement
audit_deperdition;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_descriptif_enveloppe;id;X; ; ; ;Identifiant technique du descriptif de l'enveloppe
audit_descriptif_enveloppe;vue_ensemble_logement_id;X; ;audit_vue_ensemble_logement; ;Identifiant technique de la vue de l'ensemble du logement
audit_descriptif_enveloppe;nom;X;Texte; ; ;nom du composant
audit_descriptif_enveloppe;description;X;Texte; ; ;description du composant
audit_descriptif_enveloppe;enum_categorie_descriptif_enveloppe_id;X; ;audit_enum_categorie_descriptif_enveloppe; ;lot pour la description de l'etat existant de l'enveloppe à la page 5 de la trame de l'audit
audit_descriptif_enveloppe;qualite_isol;X;Numérique; ; ;qualité d'isolation
audit_descriptif_enveloppe;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_descriptif_equipements;id;X; ; ; ;Identifiant technique du descriptif des équipements
audit_descriptif_equipements;vue_ensemble_logement_id;X; ;audit_vue_ensemble_logement; ;Identifiant technique de la vue de l'ensemble du logement
audit_descriptif_equipements;description; ;Texte; ; ;description du système
audit_descriptif_equipements;description_etat_systeme; ;Texte; ; ;informations sur l’état de fonctionnement du système
audit_descriptif_equipements;enum_categorie_descriptif_sys_id; ; ;audit_enum_categorie_descriptif_sys; ;lot pour la description de l'etat existant des equipements à la page 6 de la trame de l'audit
audit_descriptif_equipements;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_description_du_bien;id;X; ; ; ;Identifiant technique de la description du bien
audit_description_du_bien;vue_ensemble_logement_id;X; ;audit_vue_ensemble_logement; ;Identifiant technique de la vue de l'ensemble du logement
audit_description_du_bien;enum_rubrique_description_id;X; ;audit_enum_rubrique_description; ;rubrique thématique pour la description du bien
audit_description_du_bien;description;X;Texte; ; ;description pour la rubrique thématique sélectionnée
audit_description_du_bien;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_dpe_immeuble;audit_id;X; ;audit; ;Identifiant technique de l'AUDIT
audit_dpe_immeuble;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_ef_conso;conso_5_usages;X;Numérique; ; ;consommation annuelle 5 usages (ecs/chauffage/climatisation/eclairage/auxiliaires)en energie finale(déduit de la production pv autoconsommée) (kWhef/an)
audit_ef_conso;conso_5_usages_m2;X;Numérique; ; ;consommation annuelle 5 usages (ecs/chauffage/climatisation/eclairage/auxiliaires)en energie finale(déduit de la production pv autoconsommée) (kWhef/m²/an)
audit_ef_conso;conso_totale_auxiliaire;X;Numérique; ; ;consommation annuelle de l'ensemble des auxiliaires en énergie finale(déduit de la production pv autoconsommée) (kWhef/an)
audit_ef_conso;conso_ch;X;Numérique; ; ;consommation annuelle de chauffage en energie finale (déduit de la production pv autoconsommée) (kWhef/an)
audit_ef_conso;conso_eclairage;X;Numérique; ; ;consommation annuelle d'eclairage en energie finale (déduit de la production pv autoconsommée) (kWhef/an)
audit_ef_conso;conso_ecs;X;Numérique; ; ;consommation annuelle d'ECS en energie finale (déduit de la production pv autoconsommée) (kWhef/an)
audit_ef_conso;conso_fr;X;Numérique; ; ;consommation de refroidissement annuel en energie finale (déduit de la production pv autoconsommée) (kWhef/an)
audit_ef_conso;conso_auxiliaire_distribution_ch;X;Numérique; ; ;consommation annuelle d'auxilliaires de distribution de chauffage en energie finale (kWhef/an)
audit_ef_conso;conso_auxiliaire_distribution_ecs;X;Numérique; ; ;consommation annuelle d'auxilliaires de distribution d'ECS en energie finale (kWhef/an)
audit_ef_conso;conso_auxiliaire_distribution_fr; ;Numérique; ; ;consommation annuelle d'auxilliaires de distribution de froid en energie finale (kWhef/an)
audit_ef_conso;conso_auxiliaire_generation_ch;X;Numérique; ; ;consommation annuelle d'auxilliaires de génération de chauffage en energie finale (kWhef/an)
audit_ef_conso;conso_auxiliaire_generation_ch_depensier;X;Numérique; ; ;consommation annuelle d'auxilliaires de génération de chauffage en energie finale pour le scénario dépensier (kWhef/an)
audit_ef_conso;conso_auxiliaire_generation_ecs;X;Numérique; ; ;consommation annuelle d'auxillaires de generation d'ECS en energie finale (kWhef/an)
audit_ef_conso;conso_auxiliaire_generation_ecs_depensier;X;Numérique; ; ;consommation annuelle d'auxillaires de generation d'ECS en energie finale pour le scénario dépensier (kWhef/an)
audit_ef_conso;conso_auxiliaire_ventilation;X;Numérique; ; ;consommation annuelle d'auxilliaires de ventilation en energie finale (kWhef/an)
audit_ef_conso;conso_ch_depensier;X;Numérique; ; ;consommation annuelle de chauffage en energie finale pour le scénario dépensier(déduit de la production pv autoconsommée) (kWhef/an)
audit_ef_conso;conso_ecs_depensier;X;Numérique; ; ;consommation annuelle d'ECS en energie finale pour le scénario dépensier (déduit de la production pv autoconsommée) (kWhef/an)
audit_ef_conso;conso_fr_depensier;X;Numérique; ; ;consommation de refroidissement annuel en energie finale pour le scénario dépensier (déduit de la production pv autoconsommée) (kWhef/an)
audit_ef_conso;logement_id;X; ;audit_logement; ;Identifiant technique du logement
audit_ef_conso;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_emetteur_chauffage;enum_type_emission_distribution_id;X; ;audit_enum_type_emission_distribution;lib;enumérateur qui couple les notions d'emission et de distribution pour produire une description complète des emetteurs de chauffage
audit_emetteur_chauffage;description;Parfois;Texte; ; ;description textuelle de l'objet
audit_emetteur_chauffage;enum_equipement_intermittence_id;X; ;audit_enum_equipement_intermittence; ;type d'équipement d'intermittence associé à la génération
audit_emetteur_chauffage;enum_etat_composant_id;X; ;audit_enum_etat_composant;lib;indique si le composant a été changé par rapport au logement initial
audit_emetteur_chauffage;enum_lien_generateur_emetteur_id;X; ;audit_enum_lien_generateur_emetteur; ;lien entre le générateur et l'émetteur associé
audit_emetteur_chauffage;enum_periode_installation_emetteur_id; ; ;audit_enum_periode_installation_emetteur;lib;période d'installation des émetteurs de chauffage (utilisé pour le calcul des températures de fonctionnement des systèmes à combustion de type chaudière gaz ou fioul)
audit_emetteur_chauffage;enum_temp_distribution_ch_id;X; ;audit_enum_temp_distribution_ch; ;température de distribution de l'installation de chauffage (pour le calcul des auxiliaires de distribution)
audit_emetteur_chauffage;enum_type_chauffage_id;X; ;audit_enum_type_chauffage;lib;type de chauffage : Central ou Divisé
audit_emetteur_chauffage;enum_type_regulation_id;X; ;audit_enum_type_regulation; ;type de régulation associée au générateur
audit_emetteur_chauffage;i0;X;Numérique; ; ;coefficient d'intermittence de l'installation
audit_emetteur_chauffage;id;X; ; ; ;Identifiant technique de l'émetteur de chauffage
audit_emetteur_chauffage;installation_chauffage_id;X; ;audit_installation_chauffage; ;Identifiant technique de l'installation de chauffage
audit_emetteur_chauffage;reference;X;Texte; ; ;reference projet de l'objet (cette référence permet de faire d'éventuels liens entre objets). La codification et utilisation des références peut différer entre logiciels
audit_emetteur_chauffage;rendement_distribution;X;Numérique; ; ;Rd : rendement de distribution du système de chauffage (0-1)
audit_emetteur_chauffage;rendement_emission;X;Numérique; ; ;Re : rendement d'émission du système de chauffage (0-1)
audit_emetteur_chauffage;rendement_regulation;X;Numérique; ; ;Rr : rendement de régulation du système de chauffage (0-1)
audit_emetteur_chauffage;reseau_distribution_isole; ;Numérique; ; ;est ce que le réseau de distribution est isolé 0 : non 1 : oui
audit_emetteur_chauffage;surface_chauffee;X;Numérique; ; ;surface chauffée par l'emetteur (sous ensemble de la surface chauffée par l'installation). Dans le cas d'un DPE immeuble ou d'un DPE appartement à partir de l'immeuble c'est la surface de l'installation à l'immeuble qu'il faut renseigner
audit_emetteur_chauffage;tv_intermittence_id;X; ;audit_tv_intermittence; ;id de la ligne de la table utilisée pour le calcul du coefficient d'intermittence de l'installation I0
audit_emetteur_chauffage;tv_rendement_distribution_ch_id;X; ;audit_tv_rendement_distribution_ch; ;id de la ligne de la table utilisée pour le calcul du rendement de distribution de la distribution associée à l'émission
audit_emetteur_chauffage;tv_rendement_emission_id;X; ;audit_tv_rendement_emission; ;id de la ligne de la table utilisée pour le calcul du rendement d'emission de l'émetteur de chauffage
audit_emetteur_chauffage;tv_rendement_regulation_id;X; ;audit_tv_rendement_regulation; ;id de la ligne de la table utilisée pour le calcul du rendement de régulation associé à l'émission
audit_emetteur_chauffage;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_emission_ges;classe_emission_ges;X;Texte; ; ;classe d'estimation ges du DPE 5 usages
audit_emission_ges;emission_ges_5_usages;X;Numérique; ; ;estimation GES totale 5 usages (déduit de la production pv autoconsommée) (ecs/chauffage/climatisation/eclairage/auxiliaires)(kgCO2/an)
audit_emission_ges;emission_ges_5_usages_m2;X;Numérique; ; ;estimation GES totale 5 usages rapportée au m² (déduit de la production pv autoconsommée) (ecs/chauffage/climatisation/eclairage/auxiliaires)(kgCO2/m2/an)
audit_emission_ges;emission_ges_totale_auxiliaire;X;Numérique; ; ;estimation GES de l'ensemble des auxiliaires (déduit de la production pv autoconsommée) (kgCO2/an)
audit_emission_ges;emission_ges_ch;X;Numérique; ; ;estimation GES de chauffage (déduit de la production pv autoconsommée) (kgCO2/an)
audit_emission_ges;emission_ges_eclairage;X;Numérique; ; ;estimation GES d'eclairage (déduit de la production pv autoconsommée) (kgCO2/an)
audit_emission_ges;emission_ges_ecs;X;Numérique; ; ;estimation GES d'ECS (déduit de la production pv autoconsommée) (kgCO2/an)
audit_emission_ges;emission_ges_fr;X;Numérique; ; ;estimation GES de refroidissement annuel (déduit de la production pv autoconsommée) (kgCO2/an)
audit_emission_ges;emission_ges_auxiliaire_distribution_ch;X;Numérique; ; ;estimation GES d'auxilliaires de distribution de chauffage (kgCO2/an)
audit_emission_ges;emission_ges_auxiliaire_distribution_ecs;X;Numérique; ; ;estimation GES d'auxilliaires de distribution d'ECS (kgCO2/an)
audit_emission_ges;emission_ges_auxiliaire_distribution_fr; ;Numérique; ; ;estimation GES d'auxilliaires de distribution de froid (kgCO2/an) SUPPRIME
audit_emission_ges;emission_ges_auxiliaire_generation_ch;X;Numérique; ; ;estimation GES d'auxilliaires de génération de chauffage (kgCO2/an)
audit_emission_ges;emission_ges_auxiliaire_generation_ch_depensier;X;Numérique; ; ;estimation GES d'auxilliaires de génération de chauffage pour le scénario dépensier (kgCO2/an)
audit_emission_ges;emission_ges_auxiliaire_generation_ecs;X;Numérique; ; ;estimation GES d'auxillaires de generation d'ECS (kgCO2/an)
audit_emission_ges;emission_ges_auxiliaire_generation_ecs_depensier;X;Numérique; ; ;estimation GES d'auxillaires de generation d'ECS pour le scénario dépensier (kgCO2/an)
audit_emission_ges;emission_ges_auxiliaire_ventilation;X;Numérique; ; ;estimation GES d'auxilliaires de ventilation (kgCO2/an)
audit_emission_ges;emission_ges_ch_depensier;X;Numérique; ; ;estimation GES de chauffage pour le scénario dépensier(déduit de la production pv autoconsommée) (kgCO2/an)
audit_emission_ges;emission_ges_ecs_depensier;X;Numérique; ; ;estimation GES d'ECS pour le scénario dépensier (déduit de la production pv autoconsommée) (kgCO2/an)
audit_emission_ges;emission_ges_fr_depensier;X;Numérique; ; ;estimation GES de refroidissement pour le scénario dépensier (déduit de la production pv autoconsommée) (kgCO2/an)
audit_emission_ges;logement_id;X; ;audit_logement; ;Identifiant technique du logement
audit_emission_ges;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_ep_conso;classe_bilan_dpe;X;Texte; ; ;Classe du DPE issu de la synthèse du double seuil sur les consommations énergie primaire et les émissions de CO2 sur les 5 usages (ecs/chauffage/climatisation/eclairage/auxiliaires)
audit_ep_conso;ep_conso_5_usages;X;Numérique; ; ;consommation annuelle 5 usages (ecs/chauffage/climatisation/eclairage/auxiliaires)en energie primaire (déduit de la production pv autoconsommée) (kWhep/an)
audit_ep_conso;ep_conso_5_usages_m2;X;Numérique; ; ;consommation annuelle 5 usages (ecs/chauffage/climatisation/eclairage/auxiliaires)en energie primaire (déduit de la production pv autoconsommée) (kWhep/m²/an)
audit_ep_conso;ep_conso_totale_auxiliaire;X;Numérique; ; ;consommation annuelle de l'ensemble des auxiliaires en energie primaire (déduit de la production pv autoconsommée) (kWhep/an)
audit_ep_conso;ep_conso_ch;X;Numérique; ; ;consommation annuelle de chauffage en energie primaire(déduit de la production pv autoconsommée) (kWhep/an)
audit_ep_conso;ep_conso_eclairage;X;Numérique; ; ;consommation annuelle d'eclairage en energie primaire (déduit de la production pv autoconsommée) (kWhep/an)
audit_ep_conso;ep_conso_ecs;X;Numérique; ; ;consommation annuelle d'ECS en energie primaire (déduit de la production pv autoconsommée) (kWhep/an)
audit_ep_conso;ep_conso_fr;X;Numérique; ; ;consommation de refroidissement annuel en énergie primaire (déduit de la production pv autoconsommée) (kWhep/an)
audit_ep_conso;ep_conso_auxiliaire_distribution_ch;X;Numérique; ; ;consommation annuelle d'auxilliaires de distribution de chauffage en energie primaire (kWhep/an)
audit_ep_conso;ep_conso_auxiliaire_distribution_ecs;X;Numérique; ; ;consommation annuelle d'auxilliaires de distribution d'ECS en energie primaire (kWhep/an)
audit_ep_conso;ep_conso_auxiliaire_distribution_fr; ;Numérique; ; ;consommation annuelle d'auxilliaires de distribution de froid en energie primaire (kWhep/an) SUPPRIME
audit_ep_conso;ep_conso_auxiliaire_generation_ch;X;Numérique; ; ;consommation annuelle d'auxilliaires de génération de chauffage en energie primaire (kWhep/an)
audit_ep_conso;ep_conso_auxiliaire_generation_ch_depensier;X;Numérique; ; ;consommation annuelle d'auxilliaires de génération de chauffage en energie primaire pour le scénario dépensier (kWhep/an)
audit_ep_conso;ep_conso_auxiliaire_generation_ecs;X;Numérique; ; ;consommation annuelle d'auxillaires de generation d'ECS en energie primaire (kWhep/an)
audit_ep_conso;ep_conso_auxiliaire_generation_ecs_depensier;X;Numérique; ; ;consommation annuelle d'auxillaires de generation d'ECS en energie primaire pour le scénario dépensier (kWhep/an)
audit_ep_conso;ep_conso_auxiliaire_ventilation;X;Numérique; ; ;consommation annuelle d'auxilliaires de ventilation en energie primaire (kWhep/an)
audit_ep_conso;ep_conso_ch_depensier;X;Numérique; ; ;consommation annuelle de chauffage en energie primaire pour le scénario dépensier (déduit de la production pv autoconsommée) (kWhep/an)
audit_ep_conso;ep_conso_ecs_depensier;X;Numérique; ; ;consommation annuelle d'ECS en energie primaire pour le scénario dépensier (déduit de la production pv autoconsommée) (kWhep/an)
audit_ep_conso;ep_conso_fr_depensier;X;Numérique; ; ;consommation de refroidissement annuel en énergie primaire pour le scénario dépensier (déduit de la production pv autoconsommée) (kWhep/an)
audit_ep_conso;logement_id;X; ;audit_logement; ;Identifiant technique du logement
audit_ep_conso;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_etape_travaux;ef_conso_totale_auxiliaire_m2;X;Numérique; ; ;consommation annuelle de l'ensemble des auxiliaires en energie finale (déduit de la production pv autoconsommée) (kWhef/m²SHAB/an)
audit_etape_travaux;ef_conso_ch_m2;X;Numérique; ; ;consommation annuelle de chauffage en energie finale (déduit de la production pv autoconsommée) (kWhef/m²SHAB/an)
audit_etape_travaux;ef_conso_eclairage_m2;X;Numérique; ; ;consommation annuelle d'eclairage en energie finale (déduit de la production pv autoconsommée) (kWhef/m²SHAB/an)
audit_etape_travaux;ef_conso_ecs_m2;X;Numérique; ; ;consommation annuelle d'ECS en energie finale (déduit de la production pv autoconsommée) (kWhef/m²SHAB/an)
audit_etape_travaux;ef_conso_fr_m2;X;Numérique; ; ;consommation de refroidissement annuel en énergie finale (déduit de la production pv autoconsommée) (kWhef/m²SHAB/an)
audit_etape_travaux;ep_conso_totale_auxiliaire_m2;X;Numérique; ; ;consommation annuelle de l'ensemble des auxiliaires en energie primaire (déduit de la production pv autoconsommée) (kWhep/m²SHAB/an)
audit_etape_travaux;ep_conso_ch_m2;Parfois;Numérique; ; ;consommation annuelle de chauffage en energie primaire (déduit de la production pv autoconsommée) (kWhep/m²SHAB/an)
audit_etape_travaux;ep_conso_eclairage_m2;X;Numérique; ; ;consommation annuelle d'eclairage en energie primaire (déduit de la production pv autoconsommée) (kWhep/m²SHAB/an)
audit_etape_travaux;ep_conso_ecs_m2;X;Numérique; ; ;consommation annuelle d'ECS en energie primaire (déduit de la production pv autoconsommée) (kWhep/m²SHAB/an)
audit_etape_travaux;ep_conso_fr_m2;X;Numérique; ; ;consommation de refroidissement annuel en énergie primaire (déduit de la production pv autoconsommée) (kWhep/m²SHAB/an)
audit_etape_travaux;cout;Parfois;Numérique; ; ;coût des travaux de l’étape, dont les travaux auxiliaires permettant la bonne exécution (€TTC)
audit_etape_travaux;cout_cumule;X;Numérique; ; ;coût cumulé du scénario de travaux jusqu’à l’étape en cours inclus, dont les travaux auxiliaires permettant la bonne exécution (€TTC)
audit_etape_travaux;ef_conso_5_usages_m2_gain;X;Numérique; ; ;gain en énergie finale (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) de l'étape par rapport à l’étape précédente (kWhef/m²SHAB/an)
audit_etape_travaux;ep_conso_5_usages_m2_gain;X;Numérique; ; ;gain en énergie primaire (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) de l'étape par rapport à l’étape précédente (kWhep/m²SHAB/an)
audit_etape_travaux;emission_ges_5_usages_m2_gain;X;Numérique; ; ;réduction des GES (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) de l'étape par rapport à l’étape précédente (kgCO2eq/m²SHAB/an)
audit_etape_travaux;facture_gain_cumule;X;Numérique; ; ;économie sur les factures annuelles d'énergie de l'étape par rapport à l’état initial (€/an)
audit_etape_travaux;facture_gain;X;Numérique; ; ;économie sur les factures annuelles d'énergie de l'étape par rapport à l’étape précédente (€/an)
audit_etape_travaux;ef_conso_5_usages_m2_gain_relatif;X;Numérique; ; ;gain relatif en énergie finale (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) de l'étape par rapport à l’étape précédente (%)
audit_etape_travaux;ep_conso_5_usages_m2_gain_relatif;X;Numérique; ; ;gain relatif en énergie primaire (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) de l'étape par rapport à l’étape précédente (%)
audit_etape_travaux;emission_ges_5_usages_m2_gain_relatif;X;Numérique; ; ;gain relatif des GES (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) de l'étape par rapport à l’étape précédente (%)
audit_etape_travaux;facture_gain_max;X;Numérique; ; ;économie sur les factures annuelles d'énergie de l'étape par rapport à l’étape précédente (€/an)
audit_etape_travaux;facture_gain_min;X;Numérique; ; ;économie sur les factures annuelles d'énergie de l'étape par rapport à l’étape précédente (€/an)
audit_etape_travaux;ef_conso_5_usages_m2_gain_cumule;X;Numérique; ; ;gain en énergie finale (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) du scénario de travaux cumulé jusqu’à l’étape en cours inclus (kWhef/m²SHAB/an)
audit_etape_travaux;ep_conso_5_usages_m2_gain_cumule;X;Numérique; ; ;gain en énergie primaire (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) du scénario de travaux cumulé jusqu’à l’étape en cours inclus (kWhep/m²SHAB/an)
audit_etape_travaux;emission_ges_5_usages_m2_gain_cumule;X;Numérique; ; ;réduction des GES (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) du scénario de travaux cumulée jusqu’à l’étape en cours inclus (kgCO2eq/m²SHAB/an)
audit_etape_travaux;facture_gain_cumule_max;X;Numérique; ; ;économie sur les factures annuelles d'énergie de l'étape par rapport à l’état initial (€/an)
audit_etape_travaux;facture_gain_cumule_min;X;Numérique; ; ;économie sur les factures annuelles d'énergie de l'étape par rapport à l’état initial (€/an)
audit_etape_travaux;ef_conso_5_usages_m2_gain_cumule_relatif;X;Numérique; ; ;gain relatif en énergie finale (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) du scénario de travaux cumulé jusqu’à l’étape en cours inclus (%)
audit_etape_travaux;ep_conso_5_usages_m2_gain_cumule_relatif;X;Numérique; ; ;gain relatif en énergie primaire (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) du scénario de travaux cumulé jusqu’à l’étape en cours inclus (%)
audit_etape_travaux;emission_ges_5_usages_m2_gain_cumule_relatif;X;Numérique; ; ;réduction relative des GES (totale 5 usages rapportée au m², déduit de la production pv autoconsommée) du scénario de travaux cumulée jusqu’à l’étape en cours inclus (%)
audit_etape_travaux;classe_emission_ges;X;Texte; ; ;classe d'estimation ges du DPE 5 usages
audit_etape_travaux;ef_conso_5_usages_m2;X;Numérique; ; ;consommation annuelle 5 usages (déduit de la production pv autoconsommée) (ecs/chauffage/climatisation/eclairage/auxiliaires) en energie finale (kWhef/m²SHAB/an)
audit_etape_travaux;ef_conso_5_usages_m2_sans_ac;X;Numérique; ; ;consommation annuelle 5 usages (hors production pv autoconsommée) (ecs/chauffage/climatisation/eclairage/auxiliaires) en energie finale (kWhef/m²SHAB/an)
audit_etape_travaux;emission_ges_5_usages_m2;X;Numérique; ; ;emission GES totale 5 usages (déduit de la production pv autoconsommée)(ecs/chauffage/climatisation/eclairage/auxiliaires)(kgCO2eq/m²SHAB/an)
audit_etape_travaux;ep_conso_5_usages_m2;X;Numérique; ; ;consommation annuelle 5 usages (ecs/chauffage/climatisation/eclairage/auxiliaires) en energie primaire (déduit de la production pv autoconsommée) (kWhep/m²SHAB/an)
audit_etape_travaux;ep_conso_5_usages_m2_sans_ac;X;Numérique; ; ;consommation annuelle 5 usages (hors production pv autoconsommée) (ecs/chauffage/climatisation/eclairage/auxiliaires) en energie primaire (kWhep/m²SHAB/an)
audit_etape_travaux;aide_financiere_locale;X;Texte; ; ;mention des principales aides financières disponibles au niveau locale
audit_etape_travaux;aide_financiere_nationale;X;Texte; ; ;mention des principales aides financières disponibles au niveau nationale
audit_etape_travaux;logement_id;X; ;audit_logement; ;Identifiant technique du logement
audit_etape_travaux;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_etape_travaux;cout_min; ;Numérique; ; ;coût minimal des travaux de l’étape, dont les travaux auxiliaires permettant la bonne exécution (€TTC)
audit_etape_travaux;cout_max; ;Numérique; ; ;coût maximal des travaux de l’étape, dont les travaux auxiliaires permettant la bonne exécution (€TTC)
audit_etape_travaux;cout_cumule_min; ;Numérique; ; ;coût minimal cumulé du scénario de travaux jusqu’à l’étape en cours inclus, dont les travaux auxiliaires permettant la bonne exécution (€TTC)
audit_etape_travaux;cout_cumule_max; ;Numérique; ; ;coût maximal cumulé du scénario de travaux jusqu’à l’étape en cours inclus, dont les travaux auxiliaires permettant la bonne exécution (€TTC)
audit_etape_travaux_travaux_resume;enum_travaux_resume_collection_id;X; ;audit_enum_travaux_resume_collection;lib;travaux élémentaire à sélectionner par l'auditeur, pour affichage en p.8 de la trame de l'audit
audit_etape_travaux_travaux_resume;etape_travaux_id;X; ;a+K366+F365; ;travaux élémentaire sélectionné par l'auditeur
audit_etape_travaux_travaux_resume;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_etape_travaux_travaux_resume;enum_travaux_resume_id; ; ;audit_enum_travaux_resume; ;travaux élémentaire à sélectionner par l'auditeur, pour affichage en p.8 de la trame de l'audit
audit_ets;bver;X;Numérique; ; ;coefficient de reduction des déperditions de l'espace tampon solarisé
audit_ets;coef_transparence_ets;X;Numérique; ; ;coefficient de transparence de l'espace tampon solarisé T (déterminé à partir des parois vitrées de l'espace tampon solarisé)
audit_ets;description;Parfois;Texte; ; ;description textuelle de l'objet
audit_ets;enum_cfg_isolation_lnc_id;X; ;audit_enum_cfg_isolation_lnc; ;configuration de l'adjacence avec local non chauffé : local chauffé (non) isolé/local non chauffé (non) isolé/orientation véranda qui permet de calculer le b
audit_ets;enum_etat_composant_id;X; ;audit_enum_etat_composant;lib;indique si le composant a été changé par rapport au logement initial
audit_ets;id;X; ; ; ;Identifiant technique de l'espace tampon solarisé
audit_ets;logement_id;X; ;audit_logement; ;Identifiant technique du logement
audit_ets;reference;X;Texte; ; ;reference projet de l'objet (cette référence permet de faire d'éventuels liens entre objets). La codification et utilisation des références peut différer entre logiciels
audit_ets;tv_coef_reduction_deperdition_id; ; ;audit_tv_coef_reduction_deperdition; ;id de la ligne de la table utilisée pour le calcul du coefficient de reduction des deperditions
audit_ets;tv_coef_transparence_ets_id;X; ;audit_tv_coef_transparence_ets; ;id de la ligne de la table utilisée pour le calcul du coefficient de transparence de l'espace tampon solarisé
audit_ets;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_expertise_auditeur;audit_id;X; ;audit; ;Identifiant technique de l'AUDIT
audit_expertise_auditeur;explications_personnalisees; ;Texte; ; ;Explications personnalisées sur les éléments pouvant amener à des différences entre consommations estimées et réelles (trame p.6)
audit_expertise_auditeur;observations_auditeur; ;Texte; ; ;Observations de l'auditeur concernant l'état existant du bâtiment (trame p.7)
audit_expertise_auditeur;date_derniere_modification;X;Date; ; ;Date de dernière modification de l'enregistrement
audit_generateur_chauffage;conso_ch;X;Numérique; ; ;consommation d'energie annuelle du générateur de chauffage en energie finale kWh (exprimée en kWh PCI pour les combustibles). Dans le cas d'un DPE immeuble ou d'un DPE appartement à partir de l'immeuble c'est la consommation du générateur à l'immeuble qu'il faut saisir.
audit_generateur_chauffage;enum_type_energie_id;X; ;audit_enum_type_energie;lib;type d'énergie consommée par le générateur de chauffage
audit_generateur_chauffage;enum_type_generateur_ch_id;X; ;audit_enum_type_generateur_ch;lib;type de generateur de chauffage
audit_generateur_chauffage;enum_usage_generateur_id;X; ;audit_enum_usage_generateur;lib;usages assurés par le générateur (chauffage/ecs/chauffage+ecs)
audit_generateur_chauffage;enum_etat_composant_id;X; ;audit_enum_etat_composant;lib;indique si le composant a été changé par rapport au logement initial
audit_generateur_chauffage;conso_ch_depensier;X;Numérique; ; ;consommation d'énergie annuelle du générateur de chauffage pour le scénario dépensier (scénario DH21) en energie finale kWh (exprimée en kWh PCI pour les combustibles). Dans le cas d'un DPE immeuble ou d'un DPE appartement à partir de l'immeuble c'est la consommation du générateur à l'immeuble qu'il faut saisir.
audit_generateur_chauffage;date_arrete_reseau_chaleur; ; ; ; ;identifiant réseau de chaleur ou de froid utilisé (utilisé à partir du 18 janvier 2022)
audit_generateur_chauffage;description;Parfois;Texte; ; ;Identifiant technique du générateur de chauffage
audit_generateur_chauffage;enum_lien_generateur_emetteur_id;X; ;audit_enum_lien_generateur_emetteur; ;lien entre le générateur et l'émetteur associé
audit_generateur_chauffage;enum_methode_saisie_carac_sys_id;X; ;audit_enum_methode_saisie_carac_sys; ;méthode de saisie des performances du système de chauffage
audit_generateur_chauffage;id;X; ; ; ;Identifiant technique du générateur de chauffage
